y,x0,x1,p(y|x)
0.00E+00,5.46E-01,2.78E-01,2.72E-02
1.00E+00,9.15E-01,8.77E-01,1.00E+00
1.00E+00,5.48E-01,5.57E-01,8.80E-01
1.00E+00,8.75E-01,9.69E-01,1.00E+00
0.00E+00,8.69E-02,4.46E-01,4.27E-05
1.00E+00,4.60E-01,8.81E-01,9.99E-01
0.00E+00,3.76E-02,3.16E-01,1.12E-06
0.00E+00,1.64E-01,7.13E-01,4.19E-02
0.00E+00,4.70E-01,7.65E-02,1.02E-04
0.00E+00,3.46E-01,6.40E-01,3.32E-01
1.00E+00,8.11E-01,4.01E-01,9.89E-01
0.00E+00,2.20E-01,3.81E-01,2.02E-04
0.00E+00,7.80E-01,1.70E-01,3.31E-01
0.00E+00,1.33E-01,6.99E-01,1.68E-02
1.00E+00,2.15E-01,8.53E-01,6.73E-01
1.00E+00,8.30E-01,4.89E-01,9.99E-01
1.00E+00,6.57E-01,6.46E-01,9.98E-01
1.00E+00,7.21E-01,2.40E-01,3.61E-01
0.00E+00,1.32E-01,3.77E-01,2.87E-05
0.00E+00,4.98E-01,6.55E-02,1.49E-04
0.00E+00,2.54E-01,6.52E-01,8.19E-02
1.00E+00,9.93E-01,8.01E-01,1.00E+00
1.00E+00,9.87E-01,8.96E-01,1.00E+00
1.00E+00,7.33E-01,7.16E-01,1.00E+00
1.00E+00,9.94E-01,7.05E-01,1.00E+00
0.00E+00,2.07E-01,7.86E-01,3.16E-01
0.00E+00,6.42E-01,3.27E-01,3.68E-01
0.00E+00,3.81E-02,7.31E-01,4.21E-03
0.00E+00,7.51E-01,1.27E-01,1.00E-01
1.00E+00,8.34E-01,1.84E-01,6.77E-01
0.00E+00,1.76E-01,4.62E-01,3.90E-04
1.00E+00,9.02E-01,6.45E-01,1.00E+00
1.00E+00,4.65E-01,8.04E-01,9.94E-01
0.00E+00,1.10E-01,5.90E-01,1.18E-03
1.00E+00,2.60E-01,6.66E-01,1.16E-01
1.00E+00,8.25E-01,5.98E-01,1.00E+00
1.00E+00,6.07E-01,7.00E-01,9.98E-01
0.00E+00,4.96E-03,9.64E-01,1.73E-01
1.00E+00,9.19E-02,9.46E-01,4.83E-01
1.00E+00,2.15E-01,9.36E-01,9.14E-01
1.00E+00,7.65E-01,7.76E-01,1.00E+00
1.00E+00,7.91E-01,7.46E-01,1.00E+00
0.00E+00,3.12E-01,3.48E-01,7.42E-04
1.00E+00,3.47E-01,9.18E-01,9.92E-01
1.00E+00,9.47E-01,8.93E-01,1.00E+00
0.00E+00,1.64E-01,8.53E-02,1.74E-07
